행정구역별(읍면동),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
　　　남동구,"528,927","264,341","264,586","512,093","253,646","258,447","16,834","10,695","6,139","211,978","207,421",116,"4,441","187,149","8,091","128,749","3,155","45,899","1,255","17,805"
　　　부평구,"500,812","247,253","253,559","478,998","236,449","242,549","21,814","10,804","11,010","201,550","193,963",107,"7,480","168,544","10,590","108,034","4,420","44,166","1,334","21,060"
　　　계양구,"292,852","145,258","147,594","288,215","143,290","144,925","4,637","1,968","2,669","114,972","113,632",67,"1,273","107,004","3,628","68,453","1,815","32,456",652,"4,531"
　　　서구,"541,534","275,253","266,281","524,595","264,212","260,383","16,939","11,041","5,898","205,791","200,854",109,"4,828","182,797","8,883","121,370","9,023","42,531",990,"11,628"
　　　미추홀구,"405,886","204,401","201,485","393,389","198,206","195,183","12,497","6,195","6,302","173,122","168,908",151,"4,063","146,766","19,200","68,773","4,547","51,577","2,669","16,829"
　　　강화군,"66,020","33,116","32,904","64,866","32,389","32,477","1,154",727,427,"28,145","27,827",69,249,"29,323","21,295","2,344","1,055","4,030",599,"1,359"
　　　옹진군,"19,292","11,073","8,219","18,991","10,867","8,124",301,206,95,"8,867","8,750",7,110,"8,292","6,032",642,566,835,217,345
광주광역시,"1,477,573","734,140","743,433","1,447,000","717,832","729,168","30,573","16,308","14,265","608,316","599,217",395,"8,704","538,275","81,315","432,295","9,972","8,863","5,830","15,016"
　　　동구,"106,005","52,810","53,195","103,761","51,647","52,114","2,244","1,163","1,081","48,193","47,388",55,750,"40,108","10,867","25,080",921,"2,353",887,"1,540"
　　　서구,"294,854","145,078","149,776","292,538","144,078","148,460","2,316","1,000","1,316","124,973","124,204",52,717,"106,173","13,935","88,118","1,489","1,583","1,048","4,833"
　　　남구,"214,860","103,479","111,381","212,832","102,693","110,139","2,028",786,"1,242","87,579","87,098",55,426,"80,737","15,551","61,467","1,555","1,287",877,"1,447"
　　　북구,"439,352","218,672","220,680","433,239","215,775","217,464","6,113","2,897","3,216","183,018","181,167",103,"1,748","162,768","22,958","132,331","2,615","2,775","2,089","3,275"
　　　광산구,"422,502","214,101","208,401","404,630","203,639","200,991","17,872","10,462","7,410","164,553","159,360",130,"5,063","148,489","18,004","125,299","3,392",865,929,"3,921"
대전광역시,"1,488,435","744,349","744,086","1,465,507","733,852","731,655","22,928","10,497","12,431","639,020","631,208",460,"7,352","496,875","79,189","367,235","10,473","34,684","5,294","13,153"
　　　동구,"232,559","117,184","115,375","227,028","114,602","112,426","5,531","2,582","2,949","104,650","102,668",107,"1,875","79,262","18,943","49,761","2,306","7,082","1,170","1,120"
